1	5	1645	1889	2576
1	2	1456	2127	2393
2	3	1627	1814	2532
3	4	1449	2089	2560
4	5	1560	2086	2299
6	50	1387	2101	2501
6	7	1366	1973	2587
7	8	1480	2028	2593
8	9	1412	2179	2252
9	10	1772	1867	2311
10	11	1637	1809	2296
11	12	1618	1838	2395
12	13	1476	1983	2247
13	14	1621	2112	2408
14	15	1471	2170	2518
15	16	1498	1941	2243
16	17	1614	1847	2447
17	18	1527	2206	2407
18	19	1384	2110	2261
19	20	1584	2068	2544
20	21	1435	2097	2549
21	22	1497	2094	2674
22	23	1382	1829	2354
23	24	1696	2011	2554
24	25	1628	2067	2247
25	26	1383	2023	2459
26	27	1420	2018	2386
27	28	1410	1832	2403
28	29	1580	2212	2402
29	30	1598	2097	2394
30	31	1459	1812	2367
31	32	1457	1801	2359
32	33	1644	2126	2519
33	34	1438	2131	2456
34	35	1658	2037	2436
35	36	1628	2091	2460
36	37	1418	2032	2328
37	38	1744	2012	2677
38	39	1568	2030	2480
39	40	1520	2178	2446
40	41	1547	1800	2571
41	42	1489	2056	2623
42	43	1544	2142	2269
43	44	1546	1952	2384
44	45	1347	2233	2577
45	46	1737	1968	2485
46	47	1406	2050	2557
47	48	1648	1800	2669
48	49	1742	2232	2644
49	50	1481	2164	2414
51	56	1610	2086	2631
51	52	1789	1916	2667
52	53	1453	2210	2382
53	54	1494	2235	2340
54	55	1391	1996	2479
55	56	1516	2207	2576
57	101	1477	2123	2606
57	58	1652	2098	2530
58	59	1518	2068	2339
59	60	1766	1858	2334
60	61	1530	1913	2598
61	62	1664	2212	2353
62	63	1613	2085	2611
63	64	1524	2187	2643
64	65	1762	1976	2286
65	66	1576	1932	2304
66	67	1488	1842	2654
67	68	1392	1825	2436
68	69	1506	2049	2424
69	70	1368	2043	2490
70	71	1429	2077	2389
71	72	1593	1794	2256
72	73	1697	2139	2434
73	74	1674	2196	2422
74	75	1786	1943	2344
75	76	1402	2039	2272
76	77	1540	2133	2530
77	78	1759	2028	2533
78	79	1699	2156	2467
79	80	1755	1873	2277
80	81	1726	1939	2418
81	82	1631	1912	2409
82	83	1362	2092	2329
83	84	1770	2163	2307
84	85	1422	1908	2684
85	86	1381	1909	2480
86	87	1404	1869	2377
87	88	1528	2031	2618
88	89	1401	2037	2455
89	90	1566	1866	2661
90	91	1494	1989	2274
91	92	1565	2186	2625
92	93	1354	2138	2336
93	94	1717	2218	2384
94	95	1519	2157	2627
95	96	1641	2128	2645
96	97	1587	1824	2439
97	98	1377	2229	2387
98	99	1380	2223	2393
99	100	1491	1832	2617
100	101	1664	2100	2551
102	118	1467	1992	2540
102	103	1393	2194	2506
103	104	1505	2200	2622
104	105	1511	2208	2531
105	106	1545	1856	2609
106	107	1529	2018	2533
107	108	1709	2181	2511
108	109	1524	1881	2583
109	110	1707	1973	2615
110	111	1751	2065	2663
111	112	1708	2202	2589
112	113	1742	2228	2432
113	114	1656	2065	2446
114	115	1623	1938	2493
115	116	1624	2024	2316
116	117	1680	1877	2282
117	118	1683	2157	2507
119	159	1398	1831	2335
119	120	1448	1936	2540
120	121	1501	1928	2390
121	122	1436	1925	2357
122	123	1479	1885	2497
123	124	1447	1876	2509
124	125	1688	2111	2587
125	126	1635	1817	2276
126	127	1531	1817	2494
127	128	1350	2022	2583
128	129	1734	2006	2569
129	130	1518	2237	2429
130	131	1792	2154	2420
131	132	1403	2155	2630
132	133	1728	1946	2672
133	134	1357	2216	2419
134	135	1443	2133	2427
135	136	1345	2166	2271
136	137	1557	1957	2431
137	138	1719	2222	2447
138	139	1512	1869	2291
139	140	1705	1997	2267
140	141	1721	1995	2373
141	142	1527	1826	2376
142	143	1741	2156	2683
143	144	1636	2080	2315
144	145	1772	1993	2396
145	146	1569	1928	2321
146	147	1677	1980	2378
147	148	1487	2115	2263
148	149	1742	1962	2548
149	150	1726	1803	2629
150	151	1453	1888	2569
151	152	1428	2232	2324
152	153	1706	2173	2538
153	154	1624	2060	2636
154	155	1677	2016	2326
155	156	1731	1896	2659
156	157	1596	2082	2437
157	158	1471	1957	2404
158	159	1768	2083	2368
160	204	1718	2082	2354
160	161	1575	1878	2241
161	162	1521	1854	2519
162	163	1730	1933	2605
163	164	1721	2169	2261
164	165	1632	2163	2440
165	166	1419	2022	2253
166	167	1479	1815	2484
167	168	1782	2000	2621
168	169	1792	1977	2495
169	170	1697	1819	2595
170	171	1617	1814	2503
171	172	1760	1990	2655
172	173	1497	2107	2419
173	174	1702	1864	2279
174	175	1523	1833	2304
175	176	1361	2027	2678
176	177	1647	2178	2466
177	178	1495	1929	2651
178	179	1776	2009	2255
179	180	1602	1830	2551
180	181	1757	1994	2244
181	182	1609	1822	2377
182	183	1559	2209	2255
183	184	1596	2131	2475
184	185	1560	2166	2411
185	186	1563	1914	2366
186	187	1701	1908	2455
187	188	1620	2158	2417
188	189	1491	2224	2685
189	190	1651	2213	2399
190	191	1384	2201	2429
191	192	1434	1932	2321
192	193	1654	1825	2378
193	194	1588	1986	2575
194	195	1363	2239	2476
195	196	1619	1911	2366
196	197	1603	2075	2322
197	198	1778	2076	2546
198	199	1417	2017	2631
199	200	1563	2133	2298
200	201	1729	1810	2249
201	202	1356	2136	2528
202	203	1465	2008	2456
203	204	1649	1898	2590
205	225	1775	2010	2249
205	206	1607	2078	2563
206	207	1713	1985	2546
207	208	1507	2166	2299
208	209	1722	2174	2642
209	210	1618	2138	2329
210	211	1529	2027	2353
211	212	1377	2143	2538
212	213	1785	1877	2675
213	214	1781	1901	2361
214	215	1769	1824	2491
215	216	1454	2179	2585
216	217	1484	1799	2579
217	218	1581	1850	2464
218	219	1663	2046	2669
219	220	1666	1873	2505
220	221	1727	2226	2371
221	222	1713	1892	2298
222	223	1467	1874	2553
223	224	1768	1969	2597
224	225	1692	2116	2615
226	271	1506	2058	2451
226	227	1444	2109	2638
227	228	1531	1913	2545
228	229	1700	1860	2460
229	230	1756	2171	2272
230	231	1662	2038	2550
231	232	1683	2189	2333
232	233	1515	2219	2651
233	234	1559	2151	2492
234	235	1424	2149	2640
235	236	1432	1829	2348
236	237	1693	1830	2421
237	238	1488	1981	2555
238	239	1508	1863	2523
239	240	1511	2120	2639
240	241	1403	1842	2360
241	242	1598	1945	2465
242	243	1357	2184	2303
243	244	1571	1814	2458
244	245	1764	2202	2469
245	246	1353	2228	2443
246	247	1399	2095	2534
247	248	1506	2043	2450
248	249	1703	1925	2549
249	250	1449	1983	2540
250	251	1412	2077	2543
251	252	1600	1875	2350
252	253	1445	1960	2268
253	254	1530	2076	2554
254	255	1648	2088	2380
255	256	1611	1992	2315
256	257	1632	2170	2667
257	258	1514	1859	2554
258	259	1442	2204	2393
259	260	1532	2040	2658
260	261	1364	2211	2519
261	262	1486	1934	2344
262	263	1528	1802	2312
263	264	1408	2132	2450
264	265	1770	2125	2410
265	266	1708	2138	2513
266	267	1535	2193	2505
267	268	1652	1795	2669
268	269	1676	2001	2479
269	270	1399	2042	2618
270	271	1377	1859	2266
272	304	1619	1918	2632
272	273	1546	2190	2599
273	274	1717	2150	2257
274	275	1767	2010	2308
275	276	1373	1826	2251
276	277	1515	2160	2671
277	278	1612	1987	2625
278	279	1394	1811	2338
279	280	1414	2192	2408
280	281	1520	2057	2631
281	282	1356	1870	2308
282	283	1437	2184	2401
283	284	1690	2003	2492
284	285	1498	2035	2483
285	286	1761	2231	2294
286	287	1595	2144	2309
287	288	1750	2006	2374
288	289	1632	1975	2610
289	290	1422	1902	2386
290	291	1480	2078	2296
291	292	1631	1994	2628
292	293	1521	1963	2598
293	294	1448	2061	2616
294	295	1591	2063	2626
